year,product,geography_id,rain_mm,rain_mm_months,former_mm,former_mm_months,latter_mm,latter_mm_months,pet_mm,pet_mm_months,balance_mm,balance_mm_months,wet_days,wet_days_months,spring_tmx_c,spring_tmx_c_months,annual_tmp_c,annual_tmp_c_months,rain_mm_baseline_n,rain_mm_anomaly,rain_mm_z,rain_percent_baseline,former_mm_baseline_n,former_mm_anomaly,former_mm_z,latter_mm_baseline_n,latter_mm_anomaly,latter_mm_z,pet_mm_baseline_n,pet_mm_anomaly,pet_mm_z,balance_mm_baseline_n,balance_mm_anomaly,balance_mm_z,wet_days_baseline_n,wet_days_anomaly,wet_days_z,spring_tmx_c_baseline_n,spring_tmx_c_anomaly,spring_tmx_c_z,annual_tmp_c_baseline_n,annual_tmp_c_anomaly,annual_tmp_c_z
1901,CRU-CY4.08,CRU-CY:Israel,,9,,0,24.4,2,,9,,9,,9,24.058695652173913,3,18.483835616438355,12,30,,,,30,,,30,-35.550000000000004,-1.20232367570755,30,,,30,,,30,,,30,-0.3208333333333364,-0.34812274605894405,30,-1.2505725727973704,-2.0767719903528756
1902,CRU-CY4.08,CRU-CY:Israel,410.6000000000001,12,45.8,2,73.2,2,1441.3999999999999,12,-1030.8000000000002,12,49.8,12,22.4304347826087,3,17.95917808219178,12,30,3.6800000000000637,0.03751027867805137,100.90435466430749,30,-17.76333333333333,-0.42960591126595954,30,13.25,0.44812345156469857,30,-60.39666666666676,-2.1499391670695855,30,64.07666666666637,0.5489060081288585,30,2.1799999999999997,0.31616445669491566,30,-1.94909420289855,-2.1148800817889,30,-1.7752301070439458,-2.9480481524500584
1903,CRU-CY4.08,CRU-CY:Israel,480.90000000000003,12,125.3,2,59.1,2,1402.3,12,-921.4000000000001,12,53.099999999999994,12,22.46413043478261,3,17.05068493150685,12,30,73.98000000000002,0.7540789175549438,118.18047773518136,30,61.73666666666667,1.4931002219097091,30,-0.8500000000000014,-0.028747542175848635,30,-99.49666666666667,-3.541781235049393,30,173.47666666666646,1.486069571921671,30,5.479999999999997,0.7947620287560261,30,-1.915398550724639,-2.0783183478719267,30,-2.683723257728875,-4.456743585094576
1904,CRU-CY4.08,CRU-CY:Israel,432.2,12,55.2,2,90.4,2,1401.1,12,-968.9000000000001,12,51.1,12,21.93586956521739,3,17.590710382513663,12,30,25.279999999999973,0.2576793057013917,106.21252334611225,30,-8.363333333333323,-0.20226707287789294,30,30.450000000000003,1.0298384226524584,30,-100.69666666666672,-3.5844976156523556,30,125.97666666666646,1.0791658307867664,30,3.480000000000004,0.5047028941735356,30,-2.4436594202898583,-2.651511982828378,30,-2.143697806722063,-3.5599465857649375
1905,CRU-CY4.08,CRU-CY:Israel,647.4,12,117.2,2,119.8,2,1424.1,12,-776.7,12,65.49999999999999,12,22.36086956521739,3,17.98,12,30,240.47999999999996,2.4512151675265317,159.09761132409318,30,53.63666666666668,1.2972018611710563,30,59.849999999999994,2.02416517555828,30,-77.69666666666672,-2.7657669874289375,30,318.1766666666665,2.7256268633368435,30,17.87999999999999,2.5931286631674717,30,-2.018659420289861,-2.190362371165888,30,-1.7544081892357255,-2.913470090664476
1906,CRU-CY4.08,CRU-CY:Israel,563.6999999999999,12,40.9,2,99.19999999999999,2,1444.8000000000002,12,-881.1000000000001,12,56.9,12,22.528260869565216,3,18.286301369863015,12,30,156.77999999999992,1.598060187811084,138.52845768209966,30,-22.663333333333327,-0.548112327021441,30,39.249999999999986,1.3274600357671253,30,-56.99666666666644,-2.0289094220278514,30,213.77666666666642,1.8312952722950737,30,9.280000000000001,1.3458743844627605,30,-1.8512681159420339,-2.0087331123525267,30,-1.4481068193727111,-2.404808602818705
1907,CRU-CY4.08,CRU-CY:Israel,519.5,12,71.2,2,84.1,2,1426.6000000000001,12,-907.1000000000001,12,54.00000000000001,12,21.660869565217393,3,17.659178082191783,12,30,112.57999999999998,1.1475291232540625,127.66637176840656,30,7.636666666666677,0.1846926520379649,30,24.14999999999999,0.816768404172639,30,-75.19666666666649,-2.6767745278394273,30,187.77666666666642,1.6085690139896522,30,6.38000000000001,0.9252886393181491,30,-2.718659420289857,-2.949902908021754,30,-2.075230107043943,-3.446245226860714
1908,CRU-CY4.08,CRU-CY:Israel,554.6,12,99.4,2,118.4,2,1447.1000000000001,12,-892.5000000000001,12,59.699999999999996,12,23.101086956521737,3,17.8775956284153,12,30,147.68,1.5053037921669923,136.29214587633933,30,35.83666666666668,0.8667091672021644,30,58.45,1.9768162825627646,30,-54.69666666666649,-1.947036359205511,30,202.37666666666644,1.7336383744226969,30,12.079999999999998,1.7519571728782481,30,-1.2784420289855127,-1.3871836357639498,30,-1.8568125608204262,-3.083528618432343
1909,CRU-CY4.08,CRU-CY:Israel,438.90000000000003,12,80.0,2,83.6,2,1457.3999999999999,12,-1018.4999999999998,12,47.900000000000006,12,23.827173913043477,3,18.997808219178083,12,30,31.980000000000018,0.32597247612066926,107.85903863167206,30,16.436666666666675,0.39752050074168666,30,23.64999999999999,0.7998580852456693,30,-44.39666666666676,-1.5803874256967727,30,76.37666666666678,0.6542726610964267,30,0.28000000000000824,0.04060827884155,30,-0.5523550724637722,-0.5993372403917099,30,-0.7365999700576431,-1.2232398336456598
1910,CRU-CY4.08,CRU-CY:Israel,439.4,12,90.6,2,128.6,2,1453.8,12,-1014.4,12,50.39999999999999,12,22.34891304347826,3,17.89972602739726,12,30,32.47999999999996,0.3310689813758386,107.98191290671384,30,27.03666666666667,0.6538813184984423,30,68.64999999999999,2.3217867886729473,30,-47.99666666666667,-1.7085365675056523,30,80.47666666666657,0.6893948787522799,30,2.779999999999994,0.40318219706966224,30,-2.030615942028991,-2.203335889652556,30,-1.8346821618384652,-3.046777618337831
