year,index_2014_16_100
1961,21.98
1962,23.6
1963,24.8
1964,28.87
1965,29.13
1966,29.48
1967,33.93
1968,35.07
1969,36.11
1970,37.29
1971,41.53
1972,44.98
1973,45.34
1974,47.75
1975,48.34
1976,50.73
1977,52.21
1978,53.69
1979,53.08
1980,53.91
1981,54.63
1982,59.04
1983,61.2
1984,60.06
1985,60.77
1986,57.46
1987,61.11
1988,58.5
1989,59.62
1990,66.62
1991,59.06
1992,62.22
1993,63.12
1994,64.35
1995,69.95
1996,70.72
1997,69.69
1998,70.34
1999,69.71
2000,76.21
2001,76.67
2002,82.38
2003,81.42
2004,87.07
2005,87.15
2006,86.5
2007,89.81
2008,88.93
2009,89.86
2010,90.56
2011,91.83
2012,96.56
2013,96.35
2014,100.16
2015,99.22
2016,100.62
2017,101.58
2018,99.3
2019,100.53
2020,101.89
2021,100.94
2022,106.5
2023,106.99
2024,103.28
