year,precip_mm
1901,234.69
1902,323.71
1903,240.51
1904,421.19
1905,351.41
1906,276.94
1907,381.12
1908,368.35
1909,244.34
1910,255.66
1911,434.93
1912,348.56
1913,307.03
1914,298.11
1915,190.0
1916,372.32
1917,362.18
1918,398.32
1919,301.42
1920,376.84
1921,338.19
1922,290.1
1923,247.53
1924,329.26
1925,205.12
1926,298.05
1927,285.47
1928,266.3
1929,309.62
1930,265.3
1931,302.05
1932,179.35
1933,170.24
1934,303.94
1935,284.4
1936,285.83
1937,244.41
1938,392.51
1939,308.43
1940,320.55
1941,310.8
1942,294.74
1943,320.37
1944,456.41
1945,313.74
1946,193.78
1947,212.39
1948,320.0
1949,394.02
1950,244.76
1951,312.2
1952,211.05
1953,393.22
1954,306.92
1955,238.95
1956,239.63
1957,332.15
1958,145.4
1959,213.67
1960,171.34
1961,332.68
1962,187.46
1963,280.03
1964,341.78
1965,300.57
1966,294.3
1967,345.0
1968,305.62
1969,297.1
1970,256.58
1971,359.64
1972,235.18
1973,210.88
1974,415.84
1975,246.79
1976,236.17
1977,332.06
1978,224.63
1979,321.04
1980,339.99
1981,234.15
1982,296.87
1983,303.87
1984,240.3
1985,259.82
1986,358.2
1987,265.04
1988,369.12
1989,215.93
1990,211.6
1991,433.97
1992,399.27
1993,216.63
1994,407.65
1995,165.42
1996,243.17
1997,309.01
1998,213.89
1999,139.1
2000,310.35
2001,248.01
2002,328.59
2003,345.92
2004,235.09
2005,229.23
2006,235.07
2007,218.62
2008,199.29
2009,207.96
2010,190.37
2011,254.34
2012,305.88
2013,285.67
2014,258.12
2015,269.02
2016,250.34
2017,123.78
2018,310.57
2019,275.83
2020,372.37
2021,243.82
2022,337.49
2023,334.33
