year,month,precip_mm
1901,1,95.43
1901,2,8.78
1901,3,11.43
1901,4,5.3
1901,5,13.66
1901,6,0.06
1901,7,0.05
1901,8,0.05
1901,9,0.1
1901,10,3.6
1901,11,25.96
1901,12,70.28
1902,1,102.11
1902,2,29.92
1902,3,26.81
1902,4,23.29
1902,5,0.66
1902,6,0.05
1902,7,0.05
1902,8,0.05
1902,9,0.04
1902,10,7.92
1902,11,66.05
1902,12,66.76
1903,1,64.79
1903,2,51.84
1903,3,39.44
1903,4,4.03
1903,5,0.74
1903,6,0.11
1903,7,0.05
1903,8,0.05
1903,9,0.04
1903,10,3.86
1903,11,27.52
1903,12,48.05
1904,1,94.3
1904,2,51.05
1904,3,29.89
1904,4,27.33
1904,5,4.7
1904,6,0.14
1904,7,0.05
1904,8,0.05
1904,9,0.09
1904,10,13.31
1904,11,61.53
1904,12,138.76
1905,1,65.12
1905,2,53.92
1905,3,61.39
1905,4,23.3
1905,5,2.04
1905,6,0.08
1905,7,0.05
1905,8,0.05
1905,9,0.19
1905,10,9.23
1905,11,14.74
1905,12,121.31
1906,1,68.94
1906,2,53.11
1906,3,30.6
1906,4,30.2
1906,5,14.15
1906,6,0.17
1906,7,0.05
1906,8,0.05
1906,9,0.03
1906,10,13.63
1906,11,29.73
1906,12,36.3
1907,1,154.21
1907,2,61.93
1907,3,42.76
1907,4,9.59
1907,5,0.64
1907,6,0.05
1907,7,0.05
1907,8,0.05
1907,9,0.38
1907,10,8.3
1907,11,49.17
1907,12,54.0
1908,1,103.18
1908,2,60.95
1908,3,65.62
1908,4,26.82
1908,5,1.56
1908,6,0.22
1908,7,0.05
1908,8,0.05
1908,9,0.06
1908,10,1.92
1908,11,43.0
1908,12,64.93
1909,1,61.9
1909,2,30.29
1909,3,16.63
1909,4,37.46
1909,5,4.2
1909,6,0.07
1909,7,0.05
1909,8,0.05
1909,9,0.66
1909,10,22.52
1909,11,30.97
1909,12,39.56
1910,1,66.49
1910,2,22.82
1910,3,68.1
1910,4,18.07
1910,5,3.9
1910,6,0.11
1910,7,0.05
1910,8,0.05
1910,9,0.26
1910,10,9.66
1910,11,28.27
1910,12,37.89
1911,1,104.54
1911,2,88.27
1911,3,39.49
1911,4,32.65
1911,5,2.5
1911,6,0.05
1911,7,0.05
1911,8,0.05
1911,9,0.17
1911,10,11.38
1911,11,35.22
1911,12,120.56
1912,1,100.57
1912,2,53.63
1912,3,29.47
1912,4,11.66
1912,5,6.99
1912,6,0.05
1912,7,0.05
1912,8,0.05
1912,9,0.07
1912,10,21.1
1912,11,32.77
1912,12,92.14
1913,1,71.24
1913,2,73.1
1913,3,22.81
1913,4,11.63
1913,5,3.42
1913,6,0.07
1913,7,0.05
1913,8,0.05
1913,9,0.24
1913,10,19.61
1913,11,27.09
1913,12,77.72
1914,1,48.72
1914,2,23.51
1914,3,27.08
1914,4,36.29
1914,5,3.59
1914,6,0.17
1914,7,0.05
