year,indicator,label,value,unit,source_status,source_url,fetched_at,source_last_updated,provisional_status,interpolated_locally
2001,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),31.5508021390374,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2002,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),30.9058614564831,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2006,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),35.6721698113208,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2007,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),30.0135109052306,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2009,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),28.3773440489858,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2010,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),32.5867195242815,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2013,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),31.8854507015184,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2014,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),38.4787055979171,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2015,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),38.73384528938,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
2016,AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),55.4347826086957,percent,,https://api.worldbank.org/v2/country/ISR/indicator/AG.LND.IRIG.AG.ZS?format=json&per_page=200,2026-09-06T13:16:11.787461+00:00,2026-07-13,source does not distinguish annual measurement from estimate,False
