year,month,variable,old_product,new_product,old_value,new_value,delta_new_minus_old
1901,1,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,95.43,139.8,44.370000000000005
1901,2,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,8.78,9.6,0.8200000000000003
1901,3,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,11.43,17.3,5.870000000000001
1901,4,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,5.3,7.1,1.7999999999999998
1901,5,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,13.66,21.2,7.539999999999999
1901,6,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.06,0.1,0.04000000000000001
1901,7,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.0,-0.05
1901,8,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.0,-0.05
1901,9,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.1,0.2,0.1
1901,10,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,3.6,5.4,1.8000000000000003
1901,11,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,25.96,40.4,14.439999999999998
1901,12,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,70.28,103.8,33.519999999999996
1902,1,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,102.11,147.0,44.89
1902,2,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,29.92,39.6,9.68
1902,3,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,26.81,43.1,16.290000000000003
1902,4,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,23.29,30.1,6.810000000000002
1902,5,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.66,1.0,0.33999999999999997
1902,6,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.0,-0.05
1902,7,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.1,0.05
1902,8,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.0,-0.05
1902,9,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.04,0.1,0.060000000000000005
1902,10,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,7.92,13.0,5.08
1902,11,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,66.05,112.3,46.25
1902,12,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,66.76,112.7,45.94
1903,1,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,64.79,102.4,37.61
1903,2,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,51.84,79.6,27.75999999999999
1903,3,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,39.44,53.7,14.260000000000005
1903,4,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,4.03,5.4,1.37
1903,5,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.74,1.5,0.76
1903,6,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.11,0.3,0.19
1903,7,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.0,-0.05
1903,8,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.0,-0.05
1903,9,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.04,0.0,-0.04
1903,10,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,3.86,6.7,2.8400000000000003
1903,11,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,27.52,48.5,20.98
1903,12,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,48.05,78.8,30.75
1904,1,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,94.3,138.2,43.89999999999999
1904,2,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,51.05,61.6,10.550000000000004
1904,3,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,29.89,53.6,23.71
1904,4,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,27.33,36.8,9.469999999999999
1904,5,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,4.7,7.4,2.7
1904,6,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.14,0.4,0.26
1904,7,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.0,-0.05
1904,8,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.05,0.0,-0.05
1904,9,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,0.09,0.2,0.11000000000000001
1904,10,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,13.31,22.3,8.99
1904,11,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,61.53,94.9,33.370000000000005
1904,12,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,138.76,214.1,75.34
1905,1,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,65.12,99.4,34.28
1905,2,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,53.92,93.4,39.480000000000004
1905,3,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,61.39,88.3,26.909999999999997
1905,4,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,23.3,31.5,8.2
1905,5,pre,CCKP-CRU-TS4.08-ISR,CRU-CY4.08-Israel,2.04,3.1,1.06
