year,month,variable,old_product,new_product,old_value,new_value,delta_new_minus_old
1901,1,pre,CRU-CY4.08,CRU-CY4.10,139.8,141.6,1.799999999999983
1901,2,pre,CRU-CY4.08,CRU-CY4.10,9.6,3.3,-6.3
1901,3,pre,CRU-CY4.08,CRU-CY4.10,17.3,13.8,-3.5
1901,4,pre,CRU-CY4.08,CRU-CY4.10,7.1,6.4,-0.6999999999999993
1901,5,pre,CRU-CY4.08,CRU-CY4.10,21.2,21.8,0.6000000000000014
1901,6,pre,CRU-CY4.08,CRU-CY4.10,0.1,0.0,-0.1
1901,7,pre,CRU-CY4.08,CRU-CY4.10,0.0,0.0,0.0
1901,8,pre,CRU-CY4.08,CRU-CY4.10,0.0,0.0,0.0
1901,9,pre,CRU-CY4.08,CRU-CY4.10,0.2,0.1,-0.1
1901,10,pre,CRU-CY4.08,CRU-CY4.10,5.4,4.5,-0.9000000000000004
1901,11,pre,CRU-CY4.08,CRU-CY4.10,40.4,39.0,-1.3999999999999986
1901,12,pre,CRU-CY4.08,CRU-CY4.10,103.8,107.6,3.799999999999997
1902,1,pre,CRU-CY4.08,CRU-CY4.10,147.0,152.8,5.800000000000011
1902,2,pre,CRU-CY4.08,CRU-CY4.10,39.6,36.0,-3.6000000000000014
1902,3,pre,CRU-CY4.08,CRU-CY4.10,43.1,40.0,-3.1000000000000014
1902,4,pre,CRU-CY4.08,CRU-CY4.10,30.1,32.7,2.6000000000000014
1902,5,pre,CRU-CY4.08,CRU-CY4.10,1.0,0.8,-0.19999999999999996
1902,6,pre,CRU-CY4.08,CRU-CY4.10,0.0,0.0,0.0
1902,7,pre,CRU-CY4.08,CRU-CY4.10,0.1,0.0,-0.1
1902,8,pre,CRU-CY4.08,CRU-CY4.10,0.0,0.0,0.0
1902,9,pre,CRU-CY4.08,CRU-CY4.10,0.1,0.0,-0.1
1902,10,pre,CRU-CY4.08,CRU-CY4.10,13.0,12.8,-0.1999999999999993
1902,11,pre,CRU-CY4.08,CRU-CY4.10,112.3,117.2,4.900000000000006
1902,12,pre,CRU-CY4.08,CRU-CY4.10,112.7,115.6,2.8999999999999915
1903,1,pre,CRU-CY4.08,CRU-CY4.10,102.4,102.1,-0.30000000000001137
