outcome,rain,start,end,n,status,r,p_partial_time,p_hac,p_block3,rain_coefficient,hac_ci_low,hac_ci_high,q_partial_time,q_hac,q_block3
"Citrus Fruit, Total",total_mm,1961,2023,63,exploratory historical,0.10169498777249324,0.43157857100772284,0.2963395868818743,0.38518074096295185,516.7346854637477,-464.4052815591069,1497.8746524866024,0.7062194798308192,0.5035191432329615,0.6499925003749812
"Citrus Fruit, Total",former_mm,1961,2023,63,exploratory historical,0.1754843121124067,0.1724864781199699,0.06009673924697909,0.11059447027648618,2033.6910857496669,-89.16559823892067,4156.547769738254,0.4657134909239187,0.1708012589124669,0.31432112604896073
"Citrus Fruit, Total",latter_mm,1961,2023,63,exploratory historical,0.31802461494454615,0.011770996341732391,0.05582960212274641,0.011049447527623619,5164.821466891505,-132.69550141195123,10462.33843519496,0.06798942641292069,0.16748880636823923,0.0599370031498425
"Citrus Fruit, Total",total_mm,1961,1990,30,exploratory historical,0.015833779533893633,0.9350270339513626,0.8890612936381956,0.9215539223038848,67.65495412542663,-918.1515262899711,1053.4614345408243,0.9545649371099473,0.9232559587781263,0.9516769444546641
"Citrus Fruit, Total",former_mm,1961,1990,30,exploratory historical,0.048385860803708325,0.8031673611621483,0.5930998998428352,0.7046647667616619,491.34590403028074,-1372.9561202686639,2355.6479283292256,0.8676775394355641,0.704188509307528,0.8382793626276134
"Citrus Fruit, Total",latter_mm,1961,1990,30,exploratory historical,0.41360270980011626,0.025728426306557414,0.009463059536434134,0.0983450827458627,5637.744934067954,1497.3135585399177,9778.17630959599,0.11577791837950836,0.03759325139712588,0.2950352482375881
"Citrus Fruit, Total",total_mm,1991,2023,33,exploratory historical,0.29495536447974413,0.10124893929072251,0.09781511918059926,0.09469526523673816,433.19623698038987,-84.53705864916759,950.9295326099473,0.3037468178721675,0.264100821787618,0.2950352482375881
"Citrus Fruit, Total",former_mm,1991,2023,33,exploratory historical,0.24240629120579119,0.18130802597353227,0.034349487314639195,0.1575921203939803,797.8695238463857,62.867336646220906,1532.8717110465504,0.4662206382176544,0.1236581543327011,0.3676136193190341
"Citrus Fruit, Total",latter_mm,1991,2023,33,exploratory historical,0.21083868236030004,0.24673769039943416,0.23749674612674743,0.13949302534873256,1011.2712416900624,-702.1909905512405,2724.7334739313656,0.5065240529305671,0.4732143101059249,0.364353210910883
Figs,total_mm,1961,2023,63,exploratory historical,-0.16114539396643512,0.21084920054563874,0.2564540126084701,0.17019149042547874,-2.478085930206009,-6.804487118965766,1.8483152585537477,0.4950372534549779,0.4732143101059249,0.3676136193190341
Figs,former_mm,1961,2023,63,exploratory historical,-0.1620806476152392,0.20817736338469173,0.15442989103337118,0.15394230288485575,-5.684709159073901,-13.568958532854388,2.1995402147065857,0.4950372534549779,0.3971054340858116,0.3676136193190341
Figs,latter_mm,1961,2023,63,exploratory historical,-0.14729738570664194,0.25326202646528356,0.29838171450842166,0.26228688565571723,-7.239690774409184,-21.044677381195672,6.565295832377305,0.5065240529305671,0.5035191432329615,0.5058389937645975
Figs,total_mm,1961,1990,30,exploratory historical,-0.07177350887548344,0.711391196055712,0.5603053735295298,0.6361681915904205,-0.2016176724578096,-0.9031551295738961,0.4999197846582769,0.8676775394355641,0.703292542534825,0.8125337919150554
Figs,former_mm,1961,1990,30,exploratory historical,-0.08252219776521509,0.6704175265560907,0.448510260561056,0.5847707614619269,-0.550920663646781,-2.020685823892845,0.9188444965992829,0.8676775394355641,0.6545825424404601,0.8096825927934372
Figs,latter_mm,1961,1990,30,exploratory historical,-0.17221365021550328,0.3716936713044391,0.3988673812872195,0.49382530873456326,-1.5432597446112117,-5.237177790878546,2.150658301656122,0.6690486083479904,0.59888749265683,0.7218586439099098
Figs,total_mm,1991,2023,33,exploratory historical,-0.27726405576545443,0.12445506166109675,0.2628968389477361,0.14169291535423229,-3.973272820108991,-11.085024331604416,3.1384786913864344,0.3537143857736434,0.4732143101059249,0.364353210910883
Figs,former_mm,1991,2023,33,exploratory historical,-0.17493939921500287,0.33824100160877507,0.3391910757883751,0.3646817659117044,-5.618262917479128,-17.43195508199909,6.195429247040832,0.6298280719611674,0.5387152380168311,0.6352521083623238
Figs,latter_mm,1991,2023,33,exploratory historical,-0.13864020712750585,0.4492114440352134,0.3137862467542003,0.16359182040897954,-6.488331053048255,-19.422292391912908,6.4456302858163985,0.7134534699382802,0.5134684037796005,0.3676136193190341
Grapes,total_mm,1961,2023,63,exploratory historical,-0.02044697314435973,0.8746620223568778,0.8649638434297315,0.864206789660517,-6.125369004716134,-77.86604555499726,65.61530754556499,0.9261127295543413,0.9158440695138333,0.9150424831699592
Grapes,former_mm,1961,2023,63,exploratory historical,-0.0389649189164419,0.7636582239981602,0.6868301486182723,0.7296135193240338,-26.622916401256163,-158.0747330233118,104.82890022079948,0.8676775394355641,0.7726839171955563,0.8382793626276134
Grapes,latter_mm,1961,2023,63,exploratory historical,-0.04103982589071205,0.7514674599793695,0.6408676962015636,0.7593620318984051,-39.29481533881093,-206.93773900843527,128.3481083308134,0.8676775394355641,0.7363160764869029,0.8542822858857058
Grapes,total_mm,1961,1990,30,exploratory historical,0.3564545131246756,0.05769456861764339,0.05081458123344408,0.02864856757162142,38.79705946684015,-0.14764986881213105,77.74176880249243,0.18326510031486726,0.16185776824583983,0.12891855407229638
Grapes,former_mm,1961,1990,30,exploratory historical,0.15520742972088175,0.42143072108887153,0.22842909625451707,0.29728513574321286,40.14773581633089,-26.695234154405995,106.99070578706778,0.7062194798308192,0.4732143101059249,0.5535654251770171
Grapes,latter_mm,1961,1990,30,exploratory historical,-0.0035083006179192546,0.9855895964119178,0.9849350453750993,0.9881505924703765,-1.2181437193071503,-132.36704566242008,129.9307582238058,0.9855895964119178,0.9849350453750993,0.9881505924703765
Grapes,total_mm,1991,2023,33,exploratory historical,-0.13088977537509638,0.47519820876914926,0.3992583284378866,0.4985750712464377,-43.60930701962221,-147.75990820776036,60.54129416851595,0.7143608071628487,0.59888749265683,0.7218586439099098
Grapes,former_mm,1991,2023,33,exploratory historical,-0.12322144458083732,0.5016595979445342,0.23133344259141883,0.48532573371331433,-92.00668272621253,-245.8105858162159,61.797220363790856,0.7321518456487797,0.4732143101059249,0.7218586439099098
Grapes,latter_mm,1991,2023,33,exploratory historical,-0.07911016859185116,0.6669152002758447,0.4778028715708175,0.5079746012699365,-86.0785139229153,-330.6340257711073,158.4769979252767,0.8676775394355641,0.6789830280216881,0.7218586439099098
Olives,total_mm,1961,2023,63,exploratory historical,0.2765016848926307,0.029594552643014277,0.00974639851036597,0.04209789510524474,79.27907229597162,19.88439888084556,138.67374571109767,0.12293121867098239,0.03759325139712588,0.16237759540594401
Olives,former_mm,1961,2023,63,exploratory historical,0.07185056438972642,0.5789245037044649,0.5390166995345089,0.623368831558422,46.986119931213295,-105.1337151642521,199.10595502667869,0.822682189474766,0.7004722443886859,0.8125337919150554
Olives,latter_mm,1961,2023,63,exploratory historical,-0.03226413028641025,0.8034051291070038,0.7414161493189138,0.8043097845107745,-29.566999414093225,-207.97250663714973,148.83850780896327,0.8676775394355641,0.8170708584330886,0.8863822115016698
Olives,total_mm,1961,1990,30,exploratory historical,0.5281486346667317,0.0032306608174614147,0.0007188653008212213,0.007649617519124044,85.71556756722144,39.625545359012335,131.80558977543055,0.0249222405918452,0.004750672991292588,0.051634918254087295
Olives,former_mm,1961,1990,30,exploratory historical,0.15724058148202863,0.41529825800852477,0.5226795038534404,0.5062746862656867,60.648776350879864,-131.49302818800405,252.7905808897638,0.7062194798308192,0.7004722443886859,0.7218586439099098
Olives,latter_mm,1961,1990,30,exploratory historical,0.015379404281601523,0.9368878086449483,0.9205115294171214,0.9340532973351332,7.962511908913431,-154.2357544729224,170.16077829074925,0.9545649371099473,0.9378796714815955,0.9516769444546641
Olives,total_mm,1991,2023,33,exploratory historical,0.2191393145451522,0.2281905840658575,0.1819321206655057,0.2552872356382181,68.91634237575806,-34.079784879674165,171.91246963119028,0.5065240529305671,0.44656065981533216,0.5058389937645975
Olives,former_mm,1991,2023,33,exploratory historical,0.049884452580255714,0.7862905504560104,0.7890299069044813,0.8409579521023949,35.158209151914285,-230.80459469651416,301.1210130003427,0.8676775394355641,0.8521522994568397,0.9082345882705865
Olives,latter_mm,1991,2023,33,exploratory historical,-0.07531947614452639,0.6820241972428405,0.5730531828061537,0.7205139743012849,-77.35674713816691,-354.61615871476226,199.90266443842847,0.8676775394355641,0.703292542534825,0.8382793626276134
