outcome,rain,start,end,n,r,p_pearson,p_partial_time,p_block3,rain_lag1,outcome_lag1,q_pearson,q_partial_time,q_block3
"Citrus Fruit, Total",total,1961,2023,63,0.1016949877724937,0.4277344807798274,0.43157857100772096,0.38923053847307637,-0.06347433582165765,0.8956007504749364,0.6999291503669902,0.706219479830816,0.6568265336733163
"Citrus Fruit, Total",former,1961,2023,63,0.1754843121124065,0.16892282557594068,0.1724864781199703,0.11019449027548622,-0.20549106587473545,0.8956007504749364,0.447644175167524,0.4657134909239199,0.3131843407829608
"Citrus Fruit, Total",latter,1961,2023,63,0.31802461494454615,0.011084848952085169,0.011770996341732386,0.011449427528623568,0.1395784059367206,0.8956007504749364,0.0628099193321699,0.06798942641292081,0.06869656517174141
"Citrus Fruit, Total",total,1961,1990,30,0.015833779533894525,0.9338156641850759,0.9350270339513589,0.9212039398030099,-0.35293134446857344,0.7836015476236692,0.9533659039710498,0.9545649371099566,0.9492827245430182
"Citrus Fruit, Total",former,1961,1990,30,0.04838586080370881,0.7995668568138397,0.8031673611621462,0.704364781760912,-0.2539428259137765,0.7836015476236692,0.865937728054646,0.8676775394355599,0.8455272888529486
"Citrus Fruit, Total",latter,1961,1990,30,0.4136027098001133,0.02308945853569993,0.025728426306558545,0.10249487525623718,0.24486442655915763,0.7836015476236692,0.10390256341064968,0.11577791837951346,0.30748462576871155
"Citrus Fruit, Total",total,1991,2023,33,0.2949553644797458,0.09564118310062945,0.10124893929072053,0.09654517274136293,0.20413314663488127,0.6350464881668691,0.2869235493018884,0.3037468178721616,0.30667290164903516
"Citrus Fruit, Total",former,1991,2023,33,0.24240629120578858,0.17408384589848155,0.18130802597353718,0.15884205789710515,-0.21088371949487955,0.6350464881668691,0.447644175167524,0.466220638217667,0.3614444277786111
"Citrus Fruit, Total",latter,1991,2023,33,0.2108386823603033,0.23888762264700505,0.24673769039942683,0.13904304784760763,-0.027204216236583353,0.6350464881668691,0.49862429586891516,0.5065240529305685,0.3614444277786111
Figs,total,1961,2023,63,-0.16114539396643518,0.20705545853473079,0.21084920054563855,0.17009149542522875,-0.06347433582165765,0.8116785370044381,0.4861302069945853,0.49503725345497746,0.36739763011849413
Figs,former,1961,2023,63,-0.16208064761523897,0.20439668118045246,0.20817736338469228,0.14814259287035647,-0.20549106587473545,0.8116785370044381,0.4861302069945853,0.49503725345497746,0.3614444277786111
Figs,latter,1961,2023,63,-0.14729738570664166,0.2493121479344576,0.25326202646528423,0.26278686065696716,0.1395784059367206,0.8116785370044381,0.49862429586891516,0.5065240529305685,0.5068032312670081
Figs,total,1961,1990,30,-0.07177350887549395,0.7062463329157069,0.7113911960556715,0.6427678616069197,-0.35293134446857344,0.8277006148328839,0.865937728054646,0.8676775394355599,0.8140406933141715
Figs,former,1961,1990,30,-0.08252219776522035,0.664631538619262,0.6704175265560709,0.576021198940053,-0.2539428259137765,0.8277006148328839,0.865937728054646,0.8676775394355599,0.7975678139169964
Figs,latter,1961,1990,30,-0.17221365021550494,0.36282380629063365,0.3716936713044345,0.5054247287635618,0.24486442655915763,0.8277006148328839,0.6530828513231406,0.6690486083479821,0.71915877890316
Figs,total,1991,2023,33,-0.27726405576545715,0.1182521056219051,0.12445506166109292,0.14334283285835708,0.20413314663488127,0.5986866702628202,0.33608493176751975,0.3537143857736325,0.3614444277786111
Figs,former,1991,2023,33,-0.17493939921500248,0.3301869394111424,0.3382410016087762,0.35738213089345533,-0.21088371949487955,0.5986866702628202,0.61483085269661,0.6298280719611695,0.6225366151047286
Figs,latter,1991,2023,33,-0.1386402071275068,0.44162890646779357,0.4492114440352102,0.16064196790160493,-0.027204216236583353,0.5986866702628202,0.7014106161547309,0.7134534699382751,0.3614444277786111
Grapes,total,1961,2023,63,-0.020446973144359712,0.8736220025347534,0.8746620223568781,0.8652567371631419,-0.06347433582165765,0.8725680759962947,0.9250115320956213,0.9261127295543414,0.9161541922903855
Grapes,former,1961,2023,63,-0.03896491891644181,0.761740185277296,0.7636582239981609,0.7377131143442828,-0.20549106587473545,0.8725680759962947,0.865937728054646,0.8676775394355599,0.8475852803104527
Grapes,latter,1961,2023,63,-0.04103982589071157,0.7494572529539042,0.7514674599793724,0.7651617419129043,0.1395784059367206,0.8725680759962947,0.865937728054646,0.8676775394355599,0.8608069596520173
