outcome,rain,start,end,n,status,r,p_partial_time,p_hac,p_block3,rain_coefficient,hac_ci_low,hac_ci_high,q_hac_family30
production_tonnes,total_mm,1961,2023,63,exploratory historical,0.5334812848786199,8.020766312929334e-06,2.9420454043839596e-07,4.999750012499375e-05,547.6555238346285,357.86603336256155,737.4450143066955,2.9420454043839595e-06
production_tonnes,former_mm,1961,2023,63,exploratory historical,0.48482218107311403,6.5159331125195e-05,8.107218416817304e-08,0.000199990000499975,1135.1398926859115,763.3895168773611,1506.890268494462,1.2160827625225956e-06
production_tonnes,latter_mm,1961,2023,63,exploratory historical,0.27202651804672195,0.032446882907819,0.050955223336653276,0.03689815509224539,892.5366101187004,-3.8278088310220255,1788.9010290684228,0.0955410437562249
production_tonnes,total_mm,1961,1990,30,exploratory historical,0.5701641364043557,0.0012416436399489382,0.00019670580177725834,0.00039998000099995,571.7170663762947,299.22230335252027,844.2118294000692,0.0006147982630807566
production_tonnes,former_mm,1961,1990,30,exploratory historical,0.3889541189748501,0.03703620358197034,0.000791778831882098,0.04714764261786911,926.9013038407824,423.63567070864514,1430.1669369729195,0.001979447079705245
production_tonnes,latter_mm,1961,1990,30,exploratory historical,0.36203638086539847,0.0536180448778252,0.007018735183244651,0.06614669266536673,1158.0852026905454,343.75084915610785,1972.419556224983,0.01619708119210304
production_tonnes,total_mm,1991,2023,33,exploratory historical,0.6168051905138933,0.0001701522866802294,7.116531043453237e-05,0.00044997750112494374,474.50050948924786,264.004120409886,684.9968985686097,0.00026686991412949636
production_tonnes,former_mm,1991,2023,33,exploratory historical,0.604687130100225,0.00024665378647917996,3.796031526880645e-05,0.0005499725013749313,1042.507054183468,601.426416055429,1483.587692311507,0.00018980157634403225
production_tonnes,latter_mm,1991,2023,33,exploratory historical,0.08286776939963902,0.6520635496560472,0.5998642857064127,0.6457677116144193,208.19164642577374,-593.7138271811041,1010.0971200326514,0.6427117346854422
area_harvested_ha,total_mm,1961,2023,63,exploratory historical,0.16515267937558853,0.19956978048106688,0.0986298483201728,0.17854107294635269,45.46172656493333,-8.745235049718708,99.66868817958536,0.1479447724802592
area_harvested_ha,former_mm,1961,2023,63,exploratory historical,0.21689362352155822,0.09040060414271374,0.06684429456432918,0.05069746512674366,136.17133884740815,-9.752405357786046,282.0950830526024,0.11796051981940442
area_harvested_ha,latter_mm,1961,2023,63,exploratory historical,0.3177882738616575,0.01183719864327822,0.07194329725397981,0.01544922753862307,279.591962303628,-25.71501695141518,584.8989415586711,0.1199054954232997
area_harvested_ha,total_mm,1961,1990,30,exploratory historical,0.256754911927412,0.17878172283943147,0.03173477731661712,0.0847457627118644,67.30574001850232,6.339778138180513,128.27170189882412,0.06346955463323424
area_harvested_ha,former_mm,1961,1990,30,exploratory historical,0.07942897386319754,0.6821204928501817,0.43659086583168666,0.6083695815209239,49.48415435030532,-79.08959949897977,178.0579081995904,0.5037586913442538
area_harvested_ha,latter_mm,1961,1990,30,exploratory historical,0.5931362242350324,0.0006961423948684911,0.0004890460206796384,0.005349732513374331,496.0150212152443,239.15430661846358,752.875735812025,0.001333761874580832
area_harvested_ha,total_mm,1991,2023,33,exploratory historical,0.06045904944705594,0.7423810905415551,0.6287771466239405,0.7307634618269087,12.804091926725972,-40.73060689360429,66.33879074705624,0.6504591171971797
area_harvested_ha,former_mm,1991,2023,33,exploratory historical,0.28467125787498065,0.11430226307956699,0.25712709156988156,0.08209589520523974,135.11099823084027,-103.75114775917558,373.9731442208561,0.3353831629172368
area_harvested_ha,latter_mm,1991,2023,33,exploratory historical,-0.04351495242995758,0.8130633489664331,0.788297379391867,0.791210439478026,-30.096429035205706,-256.96030019196985,196.76744212155842,0.788297379391867
yield_kg_ha,total_mm,1961,2023,63,exploratory historical,0.5700438885081804,1.32341487662258e-06,6.957850275018957e-09,4.999750012499375e-05,6.105161307005038,4.293031614314704,7.917290999695372,2.0873550825056872e-07
yield_kg_ha,former_mm,1961,2023,63,exploratory historical,0.4831805340250084,6.955422554117018e-05,4.882368812196339e-05,0.0002999850007499625,11.802578569894875,6.409121513188198,17.196035626601553,0.0002092443776655574
yield_kg_ha,latter_mm,1961,2023,63,exploratory historical,0.18902187109935933,0.1411909740441471,0.08866745778247026,0.14309284535773212,6.470344726320968,-1.0084352270298735,13.949124679671808,0.1400012491302162
yield_kg_ha,total_mm,1961,1990,30,exploratory historical,0.6152656041811625,0.00038209931654684847,0.0002049327543602522,0.000199990000499975,5.220077439592389,2.7231589773275577,7.716995901857221,0.0006147982630807566
yield_kg_ha,former_mm,1961,1990,30,exploratory historical,0.4768344733397707,0.00891473582927906,3.506674418668841e-05,0.011899405029748513,9.61470165475738,5.627319849033953,13.602083460480806,0.00018980157634403225
yield_kg_ha,latter_mm,1961,1990,30,exploratory historical,0.17915315296914497,0.35243043060499235,0.21477269245419806,0.31243437828108594,4.84892874637583,-2.9824641645192163,12.680321657270877,0.29287185334663374
yield_kg_ha,total_mm,1991,2023,33,exploratory historical,0.5579200767111933,0.0009070521613971076,1.8589836391006656e-06,0.0016499175041247937,6.583637632970768,4.303647004788991,8.863628261152545,1.3942377293254991e-05
yield_kg_ha,former_mm,1991,2023,33,exploratory historical,0.4628272412441156,0.007644837457232772,0.012517470598154333,0.014849257537123144,12.23974742039618,2.8309954157032813,21.648499425089078,0.026823151281759283
yield_kg_ha,latter_mm,1991,2023,33,exploratory historical,0.1412004865912821,0.4407984129845453,0.33025306064717697,0.4649267536623169,5.441505972000169,-5.787577296920139,16.670589240920478,0.4128163258089712
