year,production_tonnes,area_harvested_ha,yield_kg_ha,yield_from_production_area_kg_ha,reported_yield_relative_identity_error,analysis_partition
1961,65900.0,62900.0,1047.7,1047.6947535771064,5.007587253524903e-06,exploratory historical
1962,51700.0,47590.0,1086.4,1086.3626812355537,3.435203094781514e-05,exploratory historical
1963,54700.0,52350.0,1044.9,1044.8901623686725,9.414990859157868e-06,exploratory historical
1964,126500.0,55830.0,2265.8,2265.8069138456026,3.0513833990664097e-06,exploratory historical
1965,150000.0,71985.0,2083.8,2083.767451552407,1.5620000000104994e-05,exploratory historical
1966,100600.0,76420.0,1316.4,1316.40931693274,7.077534791122275e-06,exploratory historical
1967,221600.0,93675.0,2365.6,2365.625834000534,1.092057761742371e-05,exploratory historical
1968,175000.0,102050.0,1714.8,1714.8456638902499,2.6628571428544134e-05,exploratory historical
1969,155800.0,112735.0,1382.0,1382.0020401827294,1.4762516046262775e-06,exploratory historical
1970,125000.0,107420.0,1163.7,1163.6566747346862,3.723200000016469e-05,exploratory historical
1971,199500.0,112950.0,1766.3,1766.2682602921648,1.7969924811955806e-05,exploratory historical
1972,301400.0,108675.0,2773.4,2773.4069473199906,2.504976775008494e-06,exploratory historical
1973,241500.0,100610.0,2400.4,2400.3578173143824,1.7573498964695844e-05,exploratory historical
1974,274000.0,111630.0,2454.5,2454.5373107587566,1.5200729927000722e-05,exploratory historical
1975,243300.0,104490.0,2328.5,2328.452483491243,2.0406905055558866e-05,exploratory historical
1976,205500.0,108220.0,1898.9,1898.9096285344667,5.07055961063152e-06,exploratory historical
1977,220000.0,103880.0,2117.8,2117.828263380824,1.3345454545343749e-05,exploratory historical
1978,167000.0,86940.0,1920.9,1920.8649643432252,1.8239520958029942e-05,exploratory historical
1979,133200.0,85580.0,1556.4,1556.4384201916337,2.468468468475038e-05,exploratory historical
1980,253200.0,97630.0,2593.5,2593.465123425177,1.344786729839953e-05,exploratory historical
1981,215000.0,103890.0,2069.5,2069.496582924247,1.6511627907167536e-06,exploratory historical
1982,147000.0,89590.0,1640.8,1640.8081259069093,4.952380952438773e-06,exploratory historical
1983,335000.0,102610.0,3264.8,3264.7890069194036,3.3671641790355977e-06,exploratory historical
1984,130000.0,86370.0,1505.2,1505.1522519393309,3.172307692311804e-05,exploratory historical
1985,127700.0,82270.0,1552.2,1552.2061504801263,3.962411902813656e-06,exploratory historical
1986,168500.0,90300.0,1866.0,1866.0022148394241,1.186943620168357e-06,exploratory historical
1987,298000.0,94900.0,3140.1,3140.1475237091677,1.5134228187996257e-05,exploratory historical
1988,211000.0,88160.0,2393.4,2393.375680580762,1.0161137440789503e-05,exploratory historical
1989,201700.0,91800.0,2197.2,2197.1677559912855,1.4675260287422276e-05,exploratory historical
1990,291200.0,90913.0,3203.1,3203.062268322462,1.1779876373685383e-05,exploratory historical
1991,180000.0,84399.0,2132.7,2132.726691074539,1.251500000010175e-05,exploratory historical
1992,254100.0,87855.0,2892.3,2892.26566501622,1.1871310507727273e-05,exploratory historical
1993,217000.0,79830.0,2718.3,2718.276337216585,8.70506912464819e-06,exploratory historical
1994,103230.0,78460.0,1315.7,1315.7022686719347,1.7243049500459406e-06,exploratory historical
1995,242000.0,79680.0,3037.1,3037.14859437751,1.6000000000016e-05,exploratory historical
1996,185000.0,80970.0,2284.8,2284.796838335186,1.383783783781567e-06,exploratory historical
1997,116000.0,82530.0,1405.5,1405.5494971525507,3.521551724139371e-05,exploratory historical
1998,155000.0,85746.0,1807.7,1807.6644974692697,1.9640000000098468e-05,exploratory historical
1999,29000.0,63547.0,456.4,456.3551387162258,9.830344827577164e-05,exploratory historical
2000,94000.0,64151.0,1465.3,1465.2928247416253,4.896808510679307e-06,exploratory historical
2001,157970.0,81300.0,1943.1,1943.050430504305,2.5511173007419785e-05,exploratory historical
2002,177275.0,83770.0,2116.2,2116.2110540766384,5.2235227754326985e-06,exploratory historical
2003,184300.0,72810.0,2531.2,2531.2457080071417,1.8057514921343554e-05,exploratory historical
2004,154300.0,70510.0,2188.3,2188.342079137711,1.9228775113400154e-05,exploratory historical
2005,200800.0,85600.0,2345.8,2345.7943925233644,2.390438247124038e-06,exploratory historical
2006,131200.0,84900.0,1545.3,1545.3474676089518,3.0716463414681705e-05,exploratory historical
2007,158921.0,85900.0,1850.1,1850.069848661234,1.629740562925086e-05,exploratory historical
2008,75734.0,66100.0,1145.7,1145.748865355522,4.264927245356542e-05,exploratory historical
2009,132963.0,64400.0,2064.6,2064.6428571428573,2.0757654385139546e-05,exploratory historical
2010,112324.32,64160.0,1750.7,1750.6907730673317,5.270452560823813e-06,exploratory historical
2011,141866.0,60620.0,2340.3,2340.250742329264,2.1048031240811227e-05,exploratory historical
2012,222487.0,68100.0,3267.1,3267.063142437592,1.1281558023545912e-05,exploratory historical
2013,178200.0,64010.0,2783.9,2783.9400093735353,1.4371492704778888e-05,exploratory historical
2014,139800.0,61600.0,2269.5,2269.4805194805194,8.583690987107317e-06,exploratory historical
2015,173000.0,50800.0,3405.5,3405.511811023622,3.4682080924941516e-06,exploratory historical
2016,168000.0,43700.0,3844.4,3844.3935926773456,1.6666666666775853e-06,exploratory historical
2017,72200.0,44800.0,1611.6,1611.607142857143,4.432132964082847e-06,exploratory historical
2018,70500.0,52900.0,1332.7,1332.703213610586,2.4113475177722776e-06,exploratory historical
2019,84750.0,41300.0,2052.1,2052.0581113801454,2.041297935084785e-05,exploratory historical
2020,116691.0,50710.0,2301.1,2301.1437586274897,1.9016033798724408e-05,exploratory historical
2021,150000.0,112390.0,1334.6,1334.6383130171723,2.87066666667668e-05,exploratory historical
